0,לא ידוע ,               ,               ,0,לא ידוע ,0,        ,               ,510101,0,1,0,0,0,0,0,0,0,0,0,0,3,510101,0,141229,20, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
1,סדן     ,               ,SADAN          ,844,ספיר    ,4,חגית    ,               ,600217,0,1,3,0,0,0,0,0,0,0,0,0,1,610217,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
2,פיק     ,               ,PEAK           ,0,לא ידוע ,0,        ,               ,510101,0,1,3,11,0,0,0,0,0,0,0,0,1,510101,510101,510101,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
3,עוג     ,               ,OG             ,971,עוזי    ,6,גברת    ,               ,601025,0,1,3,0,0,0,0,0,0,0,0,0,1,611025,770707,680601,90,2,0,0,0,0,0,101,100,99,100,100,99,101,100,99,98,99,100,99,100,99,100,99,588,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
4,יפת     ,               ,YEPHET         ,843,מקסים348,341,יפה     ,גן שמואל       ,610110,0,1,3,0,0,0,0,0,0,0,0,0,1,620110,770707,670501,61,2,-1196,0,0,0,0,101,98,99,101,100,99,101,102,100,99,99,100,99,100,99,99,101,817,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,72000,0,0,0,0
5,בגתן    ,               ,BIGTAN         ,0,לא ידוע ,0,        ,               ,610224,0,1,3,19,0,0,0,0,0,0,0,0,1,620224,770707,770707,  ,2,0,0,0,0,0,101,98,99,100,100,100,101,102,100,99,99,100,99,99,99,99,101,0,0,0,0,17,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
6,ברקן    ,USA000001403680,COLINDON INKA B,801,דה קול  ,1151,        ,               ,610301,0,1,3,5,0,0,0,0,0,0,0,0,1,620701,691201,770707,  , ,0,0,0,0,0,101,98,99,101,100,99,101,102,100,99,99,100,99,100,99,99,101,10072,0,0,0,2,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
7,אריסט   ,               ,ARIST          ,0,לא ידוע ,0,        ,               ,610522,0,1,3,0,0,0,0,0,0,0,0,0,1,640601,660901,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
8,גוג     ,               ,GOG            ,0,לא ידוע ,0,        ,               ,610608,0,1,3,0,0,0,0,0,0,0,0,0,1,640601,660701,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
9,סיסרא   ,               ,SYSRA          ,0,לא ידוע ,0,        ,               ,611013,0,1,3,0,0,0,0,0,0,0,0,0,1,621013,770707,670301,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,6659458
10,רסר     ,               ,RASAR          ,0,לא ידוע ,0,        ,               ,611103,0,1,3,11,0,0,0,0,0,0,0,0,1,621101,670501,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
11,בני     ,               ,BENNY          ,801,דה קול  ,159,        ,               ,611109,0,1,3,0,0,0,0,0,0,0,0,0,1,620901,700801,770707,  , ,0,0,0,0,0,102,98,99,101,100,101,101,102,99,98,99,100,98,101,98,97,101,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
12,ארי     ,               ,ARI            ,10041,אוסבורן ,183,        ,               ,611124,0,1,3,38,0,0,0,0,0,0,0,0,1,621124,770707,770707,  ,2,0,0,0,0,34,103,99,98,101,99,102,100,102,99,98,98,100,97,103,97,96,101,0,0,0,0,38,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,-3.58,2,0,6603310
13,שפיר    ,               ,SHAFIR         ,0,לא ידוע ,0,        ,               ,620122,0,1,3,0,0,0,0,0,0,0,0,0,1,630122,770707,770707,  ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,6540408
14,נוט     ,               ,NAVAT          ,0,לא ידוע ,0,        ,               ,611103,0,1,3,0,0,0,0,0,0,0,0,0,1,621103,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
15,הד      ,               ,HED            ,0,אקו     ,0,        ,               ,680101,0,1,3,3,0,0,0,0,0,0,0,0,1,690101,770707,770707,  ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,6603309
16,הידד    ,               ,HEDAD          ,0,אקו     ,0,        ,               ,621212,0,1,3,0,0,0,0,0,0,0,0,0,1,631212,770707,660901,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
17,צקלון   ,               ,TZIKLON        ,0,לא ידוע ,0,        ,               ,610827,0,1,3,0,0,0,0,0,0,0,0,0,1,620827,770707,671201,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
18,אינקה   ,               ,INKA           ,801,דה קול  ,0,        ,               ,611022,0,1,3,0,0,0,0,0,0,0,0,0,1,621022,770707,680601,90,2,0,0,0,0,67,102,99,99,101,101,100,101,100,100,99,100,101,99,99,101,100,101,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
19,        ,               ,               ,626,רם 626  ,894,סלרנו   ,נירים          ,610619,0,1,3,0,0,0,0,0,0,0,0,0,1,620619,770707,661201,  ,5,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,602000,0,0,0,6659511
20,גת      ,               ,GAT            ,951,תור     ,99999,        ,               ,611224,0,1,3,0,0,0,0,0,0,0,0,0,1,621224,770707,770707,  , ,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
21,סייר    ,               ,SAYAR          ,751,פלד     ,847,סנלדה   ,שריד           ,620305,0,1,3,0,0,0,0,0,0,0,0,0,1,630305,770707,770707,  ,2,-286,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,126000,0,0,0,0
22,ברוש    ,               ,BROSH          ,576,ברק 675 ,99999,        ,               ,620413,0,1,3,0,0,0,0,0,0,0,0,0,1,630804,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
23,עמק     ,               ,EMEK           ,843,מקסים348,1347,עדיה    ,משמר העמק      ,620301,0,1,3,0,0,0,0,0,0,0,0,0,1,630301,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,130000,0,0,0,0
24,תומר    ,               ,TOMER          ,951,תור     ,1402,חסידה   ,רפת נעמן       ,621003,0,1,3,4,0,0,0,0,0,0,0,0,1,631003,770707,680101,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,2,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,289000,0,0,0,0
25,גבעון   ,               ,GIVON          ,576,ברק 675 ,99999,        ,               ,621021,0,1,3,0,0,0,0,0,0,0,0,0,1,631021,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
26,תקוע    ,               ,TKOAH          ,951,תור     ,99999,        ,               ,621027,0,1,3,0,0,0,0,0,0,0,0,0,1,631027,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
29,פלח     ,               ,FALAH          ,751,פלד     ,99999,        ,               ,630313,0,1,3,0,0,0,0,0,0,0,0,0,1,640313,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
30,יובל    ,               ,YEVUL          ,951,תור     ,341,יפה     ,גן שמואל       ,630305,0,1,3,0,0,0,0,0,0,0,0,0,1,640305,770707,770707,  , ,-1196,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,72000,0,0,0,0
31,פגז     ,               ,PAGAZ          ,751,פלד     ,4,חגית    ,               ,630315,0,1,3,0,0,0,0,0,0,0,0,0,1,640315,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
32,חזיז    ,               ,CHAZIZ         ,951,תור     ,2,מלכה    ,שו'ת רפת ורד   ,630217,0,1,3,0,0,0,0,0,0,0,0,0,1,640217,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,85063,0,0,0,0
38,לאור    ,               ,LEOR           ,687,אריאל   ,198,לילי    ,עין צורים      ,630222,0,1,3,0,0,0,0,0,0,0,0,0,1,640222,770707,680101,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,622000,0,0,0,0
39,צור     ,               ,TZOR           ,687,אריאל   ,165,צופ     ,אורים          ,621218,0,1,3,0,0,0,0,0,0,0,0,0,1,631218,770707,681201,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,403000,0,0,0,0
40,ברקאי   ,               ,BARKAI         ,576,ברק 675 ,1405,זאטוט   ,גבעת*עוז*******,621013,0,1,3,0,0,0,0,0,0,0,0,0,1,631013,770707,770707,99,2,-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,703000,0,0,0,0
41,כליף    ,               ,CALIF          ,973,בראון   ,662,כלילה   ,משמר העמק      ,621216,0,1,3,0,0,0,0,0,0,0,0,0,1,631216,770707,681201,99,2,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,130000,0,0,0,0
42,בז      ,               ,BAZ            ,576,ברק 675 ,1366,איזה    ,שובל           ,621109,0,1,3,0,0,0,0,0,0,0,0,0,1,631109,770707,680101,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,394000,0,0,0,0
43,מעוז    ,               ,MAOZ           ,971,עוזי    ,1435,נלה     ,בית אלפא       ,620501,0,1,3,0,0,0,0,0,0,0,0,0,1,630501,770707,671001,61,2,0,0,0,0,0,101,100,99,100,100,99,101,100,99,98,99,100,99,100,99,100,99,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,95000,0,0,0,0
44,חשוב    ,               ,CHASHOV        ,862,חמדן    ,99999,        ,               ,630719,0,1,3,3,0,0,0,0,0,0,0,0,1,640719,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,2,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
45,לורד    ,               ,LORD           ,9999,מקומי   ,704,פזורה   ,חקלאות גבע     ,630912,0,1,3,0,0,0,0,0,0,0,0,0,1,640912,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,86000,0,0,0,0
46,אנקור   ,               ,ANCOR          ,951,תור     ,99999,        ,               ,631112,0,1,3,0,0,0,0,0,0,0,0,0,1,641112,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
47,כוכב    ,               ,COCHAV         ,951,תור     ,69,כוכבה   ,גשר************,631130,0,1,3,0,0,0,0,0,0,0,0,0,1,641130,770707,770707,  , ,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,305000,0,0,0,0
48,חפר     ,               ,HEFER          ,862,חמדן    ,99999,        ,               ,640120,0,1,3,0,0,0,0,0,0,0,0,0,1,650120,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
50,עריץ    ,               ,ARITZ          ,971,עוזי    ,99999,        ,               ,640213,0,1,3,0,0,0,0,0,0,0,0,0,1,650213,770707,770707,  , ,0,0,0,0,0,101,100,99,100,100,99,101,100,99,98,99,100,99,100,99,100,99,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
52,שחר     ,               ,SHACHAR        ,929,חלוץ    ,99999,        ,               ,640315,0,1,3,0,0,0,0,0,0,0,0,0,1,650315,770707,770707,  , ,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,0,0,0,0,0
53,יפתח    ,               ,YFTACH         ,971,עוזי    ,341,יפה     ,גן שמואל       ,640228,0,1,3,0,0,0,0,0,0,0,0,0,1,650228,770707,770707,  , ,-1196,0,0,0,0,101,100,99,100,100,99,101,100,99,98,99,100,99,100,99,100,99,0,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,72000,0,0,0,0
55,מרץ     ,               ,MERERTZ        ,950,שומר    ,99999,מציאה   ,ברקוביץ רמי    ,640307,0,1,3,12,0,0,0,0,0,0,0,0,1,650307,770707,770707,  , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,6,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,248058,0,0,0,0
57,לביא    ,               ,LAVI           ,9999,מקומי   ,757,גבורה   ,משמר העמק      ,631017,0,1,3,0,0,0,0,0,0,0,0,0,1,641017,770707,770707,  , ,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0, , , , , ,0,0,0,לא ידוע ,0,0,0,0,0,0,130000,0,0,0,0
